data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
2015-01-01,11760,M,False,True,0,Servidor público,Superior completo,União/Casado,Casa,26,6.1589041095890416,2.0,5287.82
2015-01-01,12200,M,True,True,1,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,40,20.60821917808219,2.0,26174.03
2015-01-01,698,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,58,,2.0,1649.37
2015-01-01,11948,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Viúvo,Casa,61,,1.0,4715.57
2015-01-01,11184,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,59,,2.0,799.18
2015-01-01,1853,M,True,True,1,Empresário,Outros,União/Casado,Casa,24,6.594520547945206,3.0,8264.29
2015-01-01,5043,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Viúvo,Casa,64,,1.0,3313.32
2015-01-01,16032,M,True,True,2+,Empresário,Superior completo,União/Casado,Casa,40,0.6273972602739726,4+,4016.38
2015-01-01,10295,F,True,True,0,Empresário,Outros,União/Casado,Casa,50,19.30958904109589,2.0,4655.96
2015-01-01,1912,F,False,True,1,Bolsista/Pensionista/Assalariado,Outros,Viúvo,Casa,42,0.8356164383561644,2.0,5611.78
2015-01-01,785,F,False,True,1,Empresário,Outros,União/Casado,Casa,37,7.528767123287671,3.0,379.52
2015-01-01,2514,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Separado,Casa,49,24.301369863013697,1.0,8715.76
2015-01-01,10508,M,False,True,0,Empresário,Outros,Solteiro,Com os pais,28,3.512328767123288,1.0,1055.21
2015-01-01,6106,M,True,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,31,1.8301369863013703,3.0,1998.33
2015-01-01,10043,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,40,,1.0,1273.34
2015-01-01,6539,F,False,True,0,Empresário,Outros,União/Casado,Casa,50,1.747945205479452,2.0,8051.62
2015-01-01,15235,F,False,True,0,Bolsista/Pensionista/Assalariado,Superior completo,Solteiro,Casa,54,7.958904109589041,1.0,6392.79
2015-01-01,5785,M,False,True,0,Empresário,Outros,Solteiro,Aluguel,51,4.3780821917808215,1.0,2557.77
2015-01-01,3858,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Governamental,61,,2.0,5955.15
2015-01-01,2103,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,54,3.0904109589041098,2.0,2083.35
2015-01-01,4457,F,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Com os pais,30,3.9287671232876713,2.0,856.31
2015-01-01,1667,F,True,True,1,Empresário,Superior completo,União/Casado,Casa,45,7.315068493150685,3.0,2963.48
2015-01-01,1248,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,64,,2.0,32667.31
2015-01-01,1044,F,True,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,41,9.01917808219178,3.0,4082.3
2015-01-01,1851,F,False,True,2+,Bolsista/Pensionista/Assalariado,Outros,Separado,Casa,40,6.594520547945206,3.0,3557.34
2015-01-01,13066,F,False,True,0,Servidor público,Superior completo,Separado,Casa,45,25.356164383561644,1.0,25664.46
2015-01-01,7153,F,False,True,0,Empresário,Superior completo,União/Casado,Casa,47,3.2931506849315078,2.0,699.19
2015-01-01,14973,F,True,True,2+,Empresário,Superior completo,União/Casado,Casa,37,17.361643835616437,4+,8861.49
2015-01-01,66,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,51,17.194520547945206,2.0,22184.17
2015-01-01,557,F,True,True,1,Bolsista/Pensionista/Assalariado,Superior completo,Separado,Casa,26,5.778082191780823,2.0,2990.66
2015-01-01,6386,M,True,False,2+,Empresário,Superior completo,União/Casado,Casa,39,13.0,4+,10496.35
2015-01-01,8323,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,36,14.643835616438356,2.0,1334.97
2015-01-01,81,F,False,True,2+,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,30,6.27123287671233,4+,2749.88
2015-01-01,4985,M,False,False,0,Servidor público,Outros,Solteiro,Casa,41,6.049315068493152,1.0,7330.85
2015-01-01,12416,F,False,True,0,Servidor público,Superior completo,União/Casado,Casa,45,7.534246575342466,2.0,8542.51
2015-01-01,12925,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,64,,2.0,8358.84
2015-01-01,9985,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,60,,2.0,3116.73
2015-01-01,605,M,True,True,2+,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,37,0.4383561643835616,4+,2798.9
2015-01-01,4991,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,52,10.720547945205482,1.0,2959.0
2015-01-01,6932,F,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Governamental,50,0.3753424657534247,2.0,4339.98
2015-01-01,2731,M,False,True,0,Empresário,Outros,União/Casado,Casa,34,11.065753424657538,2.0,4738.24
2015-01-01,4311,F,True,True,0,Empresário,Superior completo,União/Casado,Casa,35,0.8383561643835616,2.0,1935.76
2015-01-01,650,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,58,3.024657534246576,2.0,3359.43
2015-01-01,6834,F,True,True,1,Servidor público,Superior completo,União/Casado,Casa,41,4.4602739726027405,3.0,3823.38
2015-01-01,11068,F,False,True,1,Servidor público,Superior completo,União/Casado,Casa,46,25.19178082191781,3.0,11721.03
2015-01-01,2937,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,53,12.473972602739725,2.0,6030.21
2015-01-01,962,F,True,False,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,31,2.0136986301369864,3.0,3740.97
2015-01-01,9300,F,True,False,0,Servidor público,Outros,União/Casado,Casa,46,8.01917808219178,2.0,2622.49
2015-01-01,5343,F,False,True,0,Empresário,Superior completo,União/Casado,Casa,30,0.7589041095890411,2.0,1555.16
2015-01-01,2527,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,37,3.1178082191780816,2.0,2880.65
2015-01-01,557,F,True,True,1,Bolsista/Pensionista/Assalariado,Superior completo,Separado,Casa,26,5.778082191780823,2.0,2990.66
2015-01-01,15605,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,42,9.627397260273971,2.0,8651.81
2015-01-01,2667,F,False,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,60,,2.0,4817.12
2015-01-01,3433,F,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,Separado,Casa,47,23.2027397260274,1.0,3515.35
2015-01-01,13235,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,56,36.865753424657534,2.0,63286.11
2015-01-01,15690,F,False,False,1,Empresário,Outros,União/Casado,Casa,38,2.180821917808219,3.0,4058.06
2015-01-01,2850,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,37,1.1369863013698631,2.0,1449.57
2015-01-01,16073,M,True,False,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,26,1.3753424657534246,3.0,2122.16
2015-01-01,13808,M,True,False,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,45,4.287671232876712,2.0,12707.07
2015-01-01,6028,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,36,2.2164383561643834,2.0,1210.97
2015-01-01,15266,M,True,False,0,Empresário,Outros,União/Casado,Aluguel,29,4.035616438356166,2.0,17333.66
2015-01-01,10291,F,True,True,0,Empresário,Outros,União/Casado,Casa,50,19.30958904109589,2.0,5907.97
2015-01-01,3532,F,False,True,2+,Empresário,Outros,União/Casado,Casa,42,1.6821917808219178,4+,905.85
2015-01-01,10326,F,False,False,0,Empresário,Superior completo,União/Casado,Com os pais,54,4.216438356164384,2.0,1223.06
2015-01-01,3300,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,60,,2.0,4149.39
2015-01-01,8874,F,False,True,0,Empresário,Superior completo,Solteiro,Casa,56,25.394520547945213,1.0,57222.81
2015-01-01,5250,F,False,False,0,Empresário,Outros,União/Casado,Casa,43,0.4301369863013699,2.0,2652.35
2015-01-01,4995,M,True,True,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,32,10.63835616438356,3.0,11625.78
2015-01-01,13466,M,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,27,7.019178082191781,2.0,22464.67
2015-01-01,10931,F,False,False,1,Empresário,Superior completo,União/Casado,Casa,34,3.602739726027397,3.0,2474.98
2015-01-01,10212,F,False,True,1,Empresário,Outros,União/Casado,Casa,46,7.805479452054794,3.0,6260.74
2015-01-01,1407,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,26,3.6821917808219182,2.0,1969.62
2015-01-01,2286,F,True,True,0,Empresário,Superior completo,Viúvo,Casa,53,14.6,1.0,9380.83
2015-01-01,12159,M,True,True,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,37,0.2657534246575343,3.0,2744.44
2015-01-01,4778,F,True,True,1,Empresário,Outros,União/Casado,Casa,37,4.608219178082192,3.0,941.31
2015-01-01,3871,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,55,,2.0,557.69
2015-01-01,15687,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,53,6.016438356164382,2.0,2165.5
2015-01-01,13500,M,True,False,2+,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Com os pais,31,13.852054794520548,4+,9202.55
2015-01-01,4544,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,41,4.178082191780821,2.0,1932.18
2015-01-01,238,M,True,False,0,Empresário,Outros,União/Casado,Casa,32,3.1890410958904107,2.0,11587.7
2015-01-01,13001,M,True,False,1,Empresário,Superior completo,Solteiro,Estúdio,59,11.6,2.0,4063.18
2015-01-01,9316,F,False,False,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,38,2.0136986301369864,3.0,1831.13
2015-01-01,2453,M,False,True,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,37,14.95890410958904,3.0,11394.5
2015-01-01,16231,F,False,True,0,Empresário,Outros,União/Casado,Casa,46,2.5424657534246577,2.0,4670.46
2015-01-01,8470,F,False,False,0,Empresário,Superior completo,União/Casado,Com os pais,42,1.1315068493150684,2.0,3756.67
2015-01-01,12563,F,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,46,1.8657534246575345,2.0,4464.82
2015-01-01,2043,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,64,,2.0,2834.81
2015-01-01,14790,M,True,False,2+,Empresário,Outros,União/Casado,Casa,40,19.06027397260274,4+,31763.82
2015-01-01,6580,F,True,True,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,64,,1.0,1637.7
2015-01-01,14895,M,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,40,5.717808219178082,2.0,11838.5
2015-01-01,4756,F,True,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,31,0.3534246575342465,4+,1947.06
2015-01-01,4951,F,False,False,1,Bolsista/Pensionista/Assalariado,Outros,Separado,Casa,45,2.7150684931506848,2.0,1150.79
2015-01-01,15650,M,False,False,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,41,0.5452054794520548,2.0,1799.7
2015-01-01,8584,F,False,True,2+,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,37,15.646575342465756,4+,3278.0
2015-01-01,3417,F,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,34,2.2575342465753425,2.0,1935.05
2015-01-01,4543,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,41,4.178082191780821,2.0,1360.56
2015-01-01,8974,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,68,,2.0,2471.64
2015-01-01,9345,F,True,False,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,55,6.934246575342466,2.0,967.76
2015-01-01,12740,M,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,62,0.2794520547945205,2.0,714.38
2015-01-01,6490,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Viúvo,Casa,50,14.756164383561645,1.0,7620.51
2015-01-01,281,M,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,52,0.2712328767123288,2.0,6772.53
2015-01-01,4715,M,False,True,2+,Servidor público,Outros,União/Casado,Casa,38,18.86575342465753,4+,37663.75
2015-01-01,1365,M,True,True,0,Empresário,Outros,União/Casado,Casa,32,4.586301369863014,2.0,7705.3
2015-01-01,13508,F,False,False,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,44,5.5178082191780815,3.0,5426.32
2015-01-01,9904,M,True,True,0,Empresário,Outros,União/Casado,Casa,28,3.095890410958904,2.0,1920.98
2015-01-01,1183,F,False,True,1,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,49,15.26027397260274,2.0,8912.51
2015-01-01,11805,F,True,True,1,Empresário,Outros,União/Casado,Casa,30,2.345205479452055,3.0,7454.7
2015-01-01,5334,M,True,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,35,13.186301369863012,4+,5497.07
2015-01-01,8588,F,True,True,0,Empresário,Outros,União/Casado,Casa,39,5.304109589041096,2.0,1369.68
2015-01-01,5776,F,False,False,0,Empresário,Outros,União/Casado,Casa,49,11.63013698630137,2.0,757.36
2015-01-01,2555,M,True,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,47,0.5561643835616439,3.0,3856.49
2015-01-01,4272,F,True,True,0,Servidor público,Superior completo,Solteiro,Casa,60,41.2,1.0,16178.0
2015-01-01,9246,F,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,31,5.512328767123288,2.0,11503.65
2015-01-01,13393,F,True,False,0,Bolsista/Pensionista/Assalariado,Superior completo,Viúvo,Casa,57,,1.0,1849.31
2015-01-01,11401,F,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,59,,2.0,3602.31
2015-01-01,12747,F,False,True,0,Empresário,Outros,União/Casado,Casa,55,3.032876712328767,2.0,6577.55
2015-01-01,1691,F,False,False,0,Empresário,Outros,União/Casado,Casa,56,5.06027397260274,2.0,2462.32
2015-01-01,11846,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,59,,1.0,951.55
2015-01-01,14210,F,True,True,0,Empresário,Outros,Solteiro,Casa,51,0.873972602739726,1.0,2029.38
2015-01-01,16425,F,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,57,,2.0,1236.52
2015-01-01,10693,F,True,True,1,Empresário,Outros,União/Casado,Casa,46,0.3479452054794521,3.0,3478.79
2015-01-01,9703,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,50,11.268493150684929,2.0,1592.11
2015-01-01,11691,F,False,True,0,Empresário,Superior completo,Solteiro,Comunitário,33,6.076712328767122,1.0,8457.2
2015-01-01,2160,M,False,False,1,Bolsista/Pensionista/Assalariado,Outros,Separado,Com os pais,42,4.424657534246577,2.0,5550.5
2015-01-01,15447,M,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,24,6.372602739726028,2.0,6089.4
2015-01-01,10624,M,False,True,0,Empresário,Outros,União/Casado,Casa,57,0.8438356164383561,2.0,6533.86
2015-01-01,2633,F,True,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,33,0.726027397260274,4+,4579.6
2015-01-01,1641,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,50,5.06027397260274,2.0,726.1
2015-01-01,15629,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,51,5.5479452054794525,2.0,2385.62
2015-01-01,11053,M,True,True,0,Empresário,Outros,União/Casado,Casa,49,9.523287671232875,2.0,9001.2
2015-01-01,14550,M,True,False,0,Empresário,Outros,União/Casado,Casa,44,8.219178082191782,2.0,7488.01
2015-01-01,5131,F,False,True,0,Empresário,Outros,União/Casado,Casa,45,7.638356164383563,2.0,4909.73
2015-01-01,4499,F,True,False,0,Empresário,Superior completo,União/Casado,Casa,53,4.597260273972604,2.0,1620.37
2015-01-01,11444,F,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,57,,2.0,6816.75
2015-01-01,6954,M,True,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,31,2.375342465753425,3.0,8104.41
2015-01-01,2550,F,True,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,38,15.232876712328768,3.0,8370.15
2015-01-01,6344,F,False,False,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,36,7.249315068493152,2.0,3186.45
2015-01-01,6652,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,54,4.312328767123288,2.0,2378.07
2015-01-01,5339,M,True,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,35,13.186301369863012,4+,5232.15
2015-01-01,7755,F,False,True,0,Servidor público,Outros,Viúvo,Casa,51,7.104109589041097,1.0,1995.82
2015-01-01,13770,M,True,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,31,7.958904109589041,4+,3646.91
2015-01-01,11944,M,True,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,57,1.326027397260274,2.0,4888.61
2015-01-01,16590,F,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,57,,2.0,6540.02
2015-01-01,7165,F,False,False,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Com os pais,30,1.9616438356164383,3.0,459.13
2015-01-01,3176,M,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,56,11.227397260273971,2.0,5975.19
2015-01-01,5601,F,False,False,0,Empresário,Outros,União/Casado,Casa,55,22.38630136986301,2.0,4582.5
2015-01-01,13415,F,True,False,0,Empresário,Superior completo,Solteiro,Casa,38,8.186301369863013,1.0,4884.94
2015-01-01,14046,F,False,False,0,Servidor público,Superior completo,União/Casado,Casa,31,6.043835616438357,2.0,1630.88
2015-01-01,2443,F,False,False,0,Bolsista/Pensionista/Assalariado,Superior completo,Viúvo,Casa,58,,1.0,2836.1
2015-01-01,11867,F,False,False,0,Bolsista/Pensionista/Assalariado,Superior completo,Separado,Casa,52,2.7452054794520557,1.0,7934.99
2015-01-01,5210,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,58,,2.0,23536.31
2015-01-01,7635,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Viúvo,Casa,67,,1.0,1346.92
2015-01-01,7967,M,True,True,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,51,1.4684931506849317,2.0,1026.82
2015-01-01,16458,F,True,True,1,Empresário,Outros,União/Casado,Governamental,44,21.86027397260274,3.0,2864.84
2015-01-01,7577,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,48,21.03013698630137,1.0,6028.89
2015-01-01,4441,M,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,62,,2.0,2518.24
2015-01-01,7257,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,42,4.046575342465753,2.0,2123.13
2015-01-01,4664,F,False,True,0,Bolsista/Pensionista/Assalariado,Superior completo,Solteiro,Casa,24,3.104109589041096,1.0,2715.22
2015-01-01,6744,F,False,True,1,Servidor público,Superior completo,União/Casado,Casa,36,13.136986301369864,3.0,3909.95
2015-01-01,12576,F,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,51,25.54794520547945,2.0,6736.28
2015-01-01,10136,F,False,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,39,18.13972602739726,4+,12752.66
2015-01-01,15824,M,False,True,0,Empresário,Superior completo,União/Casado,Casa,31,1.1232876712328768,2.0,3236.86
2015-01-01,1032,M,False,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,37,1.7534246575342465,3.0,5847.17
2015-01-01,8091,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,42,9.252054794520548,2.0,7603.64
2015-01-01,4531,F,False,False,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,53,3.4301369863013704,2.0,964.63
2015-01-01,15199,M,False,True,1,Empresário,Outros,União/Casado,Casa,46,14.375342465753429,3.0,6004.87
2015-01-01,1048,F,False,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,36,14.257534246575348,4+,13084.3
2015-01-01,14450,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,30,4.454794520547946,2.0,3046.42
2015-01-01,3079,F,False,True,0,Bolsista/Pensionista/Assalariado,Superior completo,Separado,Casa,60,4.216438356164384,1.0,7276.7
2015-01-01,13193,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,49,18.523287671232875,2.0,33429.16
2015-01-01,12184,M,True,False,0,Empresário,Outros,União/Casado,Casa,31,5.6054794520547935,2.0,4929.31
2015-01-01,2750,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,43,8.312328767123287,2.0,1878.91
2015-01-01,10723,M,False,False,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,30,3.4356164383561643,3.0,9254.59
2015-01-01,8971,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,68,,2.0,1035.94
2015-01-01,15622,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,50,5.958904109589041,2.0,5507.47
2015-01-01,8507,F,True,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,35,2.5506849315068494,3.0,2267.66
2015-01-01,842,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,61,,2.0,2463.31
2015-01-01,9516,M,False,False,0,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Com os pais,24,2.5945205479452054,1.0,4247.94
2015-01-01,8333,F,False,True,2+,Empresário,Outros,Solteiro,Casa,32,13.895890410958906,4+,7590.52
2015-01-01,8554,F,False,True,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,50,27.65479452054794,3.0,3792.52
2015-01-01,8819,F,False,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,38,0.7150684931506849,3.0,1304.2
2015-01-01,10983,F,False,False,0,Empresário,Superior completo,União/Casado,Com os pais,27,3.764383561643836,2.0,2141.05
2015-01-01,10995,F,False,False,0,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,61,,2.0,2311.97
2015-01-01,1419,F,False,True,2+,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Com os pais,37,1.0027397260273974,4+,3469.59
2015-01-01,9948,F,False,False,0,Empresário,Outros,União/Casado,Casa,39,3.175342465753425,2.0,728.96
2015-01-01,4838,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,61,,2.0,9256.15
2015-01-01,8768,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,46,9.704109589041096,2.0,13381.31
2015-01-01,4397,F,False,False,1,Empresário,Superior completo,Separado,Casa,40,7.761643835616439,2.0,3091.22
2015-01-01,2805,M,True,True,0,Bolsista/Pensionista/Assalariado,Outros,Separado,Casa,52,10.47945205479452,1.0,6718.18
2015-01-01,10248,F,False,False,0,Empresário,Outros,União/Casado,Casa,41,3.7178082191780817,2.0,5852.05
2015-01-01,15485,F,False,True,1,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,40,21.55068493150685,3.0,3245.19
2015-01-01,15811,F,True,True,0,Empresário,Superior completo,União/Casado,Casa,38,10.438356164383563,2.0,3195.0
2015-01-01,2060,M,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,38,10.427397260273972,2.0,10289.08
2015-01-01,15422,M,False,False,1,Bolsista/Pensionista/Assalariado,Superior completo,União/Casado,Casa,27,4.035616438356166,3.0,2010.06
2015-01-01,3387,F,False,True,0,Bolsista/Pensionista/Assalariado,Outros,União/Casado,Casa,61,,2.0,2156.88
2015-01-01,488,M,False,False,1,Bolsista/Pensionista/Assalariado,Outros,Solteiro,Casa,46,18.035616438356165,2.0,17049.35
